query,original_chunk,hit_score,original_chunk_found,rank,retrieval_time
Wells Fargo corporate code of ethics and conduct.,"Title: Code of Conduct

URL Source: https://www.wellsfargo.com/assets/pdf/about/corporate/code-of-conduct.",0,False,Not in top k,0.8593878746032715
CEO message on Code of Conduct,"wellsfargo.com/assets/pdf/about/corporate/code-of-conduct.pdf

Markdown Content:
# Code of Conduct 

# Published April 2023 Table of contents 

Introduction 

Code of Conduct – Message from the CEO .",0,False,Not in top k,0.811572790145874
What are Wells Fargo's diversity and inclusion policies?,"3

Our Code . 4

Our culture . 5

Who we are . 5

Diversity, equity, and inclusion . 5

Decision making 

Questions to ask . 6

Seek guidance when uncertain .",0,False,Not in top k,0.8371598720550537
What are my responsibilities when reporting misconduct?,"5

Decision making 

Questions to ask . 6

Seek guidance when uncertain . 6

Speaking up 

Resources to report potential misconduct . 7

Reporting channels . 7

Duty to cooperate .",0,False,Not in top k,0.8120486736297607
Reporting channels for accounting and auditing concerns,"7

Reporting channels . 7

Duty to cooperate . 7

Reporting concerns that are not misconduct . 7

Nonretaliation commitment . 8

Accounting, internal controls, or auditing matters .",1,True,1,0.8198225498199463
Reporting safety concerns to management.,"8

Accounting, internal controls, or auditing matters . 8

Safety concerns . 8

Required employee self-reporting . 8

Do what is right 

Upholding our ethical and legal obligations .",1,True,1,0.8137469291687012
What are examples of conflicts of interest in the workplace.,"8

Do what is right 

Upholding our ethical and legal obligations . 9

Identify and avoid conflicts of interest . 9

Manage, mitigate, disclose, or pre-clear conflicts . 9

Examples of potential conflicts .",0,False,Not in top k,0.8433840274810791
what are examples of potential conflicts of interest,"mitigate, disclose, or pre-clear conflicts . 9

Examples of potential conflicts . 10 

Fair and honest business dealings . 13 

Insider trading and other trading restrictions . 13 

Anti-bribery and anti-corruption .",1,True,1,0.9398040771484375
Anti-bribery and anti-corruption policies worldwide,"13 

Anti-bribery and anti-corruption . 14 

Competition and antitrust laws . 14 

Global compliance . 15 

Financial crimes and money laundering . 15 

Sanctions, embargos,",1,True,1,0.8771045207977295
Wells Fargo asset protection policies,"15 

Financial crimes and money laundering . 15 

Sanctions, embargos, and antiboycott . 15 

Protecting Wells Fargo assets . 16 

Information security and electronic . . 

communications .",0,False,Not in top k,0.842958927154541
Information security and electronic communications policy,"16 

Information security and electronic . . 

communications . 16 

Intellectual property . 17 

Accurate records and disclosures . 17 

Our workplace . 18 

Anti-harassment and anti-discrimination .",1,True,1,0.8446455001831055
Valuing human rights in the workplace.,"17 

Our workplace . 18 

Anti-harassment and anti-discrimination . 18 

Hiring and advancement opportunities . 18 

Workplace safety . 18 

Human rights 

Valuing human rights .",1,True,1,0.820854663848877
Valuing human rights in the workplace safety policy.,"18 

Workplace safety . 18 

Human rights 

Valuing human rights . 18 

Closing thoughts . 19 

Waivers and exceptions . 19 

Violations .",1,True,1,0.824822187423706
Wells Fargo financial services institutions description,"18 

Closing thoughts . 19 

Waivers and exceptions . 19 

Violations . 19 

> 2 of 19 Code of Conduct

# Code of Conduct – Message from the CEO 

As one of the world’s largest financial services institutions,",0,False,Not in top k,0.8226933479309082
Wells Fargo business conduct and customer service standards.,"the work we do at Wells Fargo brings real responsibility. It requires that we act with the highest standards of trust and integrity. 

Each day we make decisions in how to conduct our business and serve our customers and communities.",0,False,Not in top k,0.8329441547393799
What guides employee behavior at Wells Fargo?,"Each day we make decisions in how to conduct our business and serve our customers and communities. This Code of Conduct, together with our Employee Handbook and other company policies, guides us in how to do the right thing in the right way.",0,False,Not in top k,0.8163080215454102
Accountability for employee actions and decisions.,"Wells Fargo does not tolerate unethical behavior. We are all responsible for our actions and the decisions we make, and we must hold each other accountable for the outcomes of those actions and decisions.",0,False,Not in top k,0.8074674606323242
CEO thanking employees for commitment to Code of Conduct,"Thank you for your commitment to our Code of Conduct, and thank you for the work you do to support our success. 

Charles W. Scharf 

CEO,",1,True,1,0.8974347114562988
Wells Fargo CEO Code of Conduct requirements,"Charles W. Scharf 

CEO, Wells Fargo & Company Our Code 

Our Code of Conduct (Code) applies to all employees, including executive officers,",1,True,1,0.8318819999694824
Wells Fargo Board of Directors definition,"including executive officers, and in some cases the Board of Directors of Wells Fargo & Company (collectively referred to in this document as “the Board”).",1,True,1,0.8378312587738037
Compliance with company policies and applicable laws.,"Employees are expected to adhere to the Code, Employee Handbook, and company policies and to comply with applicable laws and regulations.",1,True,1,0.8393807411193848
What happens if company policies conflict with local laws?,"Wells Fargo operates globally, and if, at any time, the Code 1 or our policies differ with local laws and regulations, the more restrictive guidance applies. 

Whenever an expectation is unclear, employees should speak with their manager.",1,True,1,0.8542706966400146
What to do when an expectation is unclear at work.,"Whenever an expectation is unclear, employees should speak with their manager. If employees are uncomfortable speaking with their manager they can contact Employee Relations (ER), or the Ethics Office.",1,True,1,0.8284378051757812
Third party vendors integrity standards compliance requirements,"Wells Fargo seeks to engage third parties and contingent resources that share our commitment to honesty and integrity, and act in a manner consistent with the Code.",0,False,Not in top k,0.8129098415374756
What are my responsibilities under the Employee Code of Conduct?,"# Accountability 

All employees and the Board have a role in maintaining the trust of our customers and stakeholders and complying with applicable laws and regulations. Employees are expected to: 

• Abide by the Code and seek guidance when uncertain.",0,False,Not in top k,0.8272705078125
What are Wells Fargo's employee code of conduct expectations?,"Employees are expected to: 

• Abide by the Code and seek guidance when uncertain. 

• Comply with company policies. 

• Represent Wells Fargo accurately and professionally. 

• Manage risk in alignment with the company’s Risk Management Framework.",1,True,1,0.8417222499847412
Leaders risk management responsibility,"• Manage risk in alignment with the company’s Risk Management Framework. 

As leaders, managers have an even greater level of responsibility.",1,True,1,0.8451952934265137
Managers' responsibilities in leading with integrity.,"As leaders, managers have an even greater level of responsibility. In addition to their responsibilities as employees, managers are expected to: 

• Lead with integrity, demonstrating and reinforcing the Code.",1,True,1,0.8647270202636719
What is Wells Fargo's policy on speaking up without retaliation?,"• Help employees understand the importance of following the Code and policies. 

• Hold their employees accountable for adhering to the Code and policies. 

• Foster a work environment where employees feel comfortable speaking up without fear of retaliation.",0,False,Not in top k,0.8219749927520752
Reporting misconduct anonymously without fear of retaliation.,"• Foster a work environment where employees feel comfortable speaking up without fear of retaliation. 

• Listen to employees and report concerns that may be misconduct as soon as possible, with appropriate confidentiality. 

• Develop high performing teams.",1,True,1,0.8241188526153564
What language versions of the Code of Conduct exist?,"• Develop high performing teams.  

> 1The Code is translated into several languages. If there is a conflict or inconsistency between the translations, the English version prevails, where applicable.
> 4 of 19 Code of Conduct
>",1,True,1,0.8666293621063232
What is our company culture like at Wells Fargo?,"> 4 of 19 Code of Conduct
> TOC  Decision making  Speak Up Introduction  Do what is right  Closing

# Our culture 

# Who we are 

Wells Fargo is committed to a culture that attracts and retains the",0,False,Not in top k,0.8236620426177979
Company culture and values at Wells Fargo.,"culture 

# Who we are 

Wells Fargo is committed to a culture that attracts and retains the best people who help us become a better, stronger company.",1,True,1,0.8201837539672852
Risk Management Framework company culture components,"a culture that attracts and retains the best people who help us become a better, stronger company. Adherence to the Risk Management Framework and effective risk management are key components of our company’s culture.",1,True,1,0.8241124153137207
What drives our customer-centric company culture?,Our culture is also guided by a customer-centric focus informed by employee engagement and feedback and reinforced by clear employee expectations.,1,True,1,0.8292405605316162
What are Wells Fargo's employee expectations?,"Our employee expectations are designed to be clear and straightforward, to drive the highest standards of integrity and operational excellence, and to provide guidance for doing what’s right and doing it well.",1,True,1,0.8643844127655029
Champion diversity equity and inclusion policy,"These expectations are: 

• Embrace candor 

• Do what’s right 

• Be great at execution 

• Learn and grow 

• Champion diversity, equity, and inclusion 

• Build high-performing teams ( for managers )

# Diversity,",1,True,1,0.8760392665863037
Building diverse high performing teams at Wells Fargo.,"equity, and inclusion 

• Build high-performing teams ( for managers )

# Diversity, equity, and inclusion 

We are committed to creating a culture with broad representation of who we are, how we think, and how we make decisions.",1,True,1,0.847592830657959
Increasing diverse representation in the company culture.,"how we think, and how we make decisions. We are focused on increasing diverse representation at all levels of the company through an inclusive culture and workplace environment; better serving and growing relationships with diverse customers in each line of business; and supporting our spend with diverse suppliers company-wide.",1,True,1,0.8141562938690186
Wells Fargo expectations for diversity and inclusion.,"One of our expectations is to champion diversity, equity, and inclusion.",1,True,1,0.8122353553771973
Benefits of a diverse workforce at Wells Fargo.,"One of our expectations is to champion diversity, equity, and inclusion. We believe a diverse and inclusive workforce drives creativity, insight, and innovation in our business, and allows us to respond effectively to the evolving needs of our customers, colleagues, and communities.",1,True,1,0.8477702140808105
Creating a safe and inclusive workplace environment.,"Employees are encouraged to: 

• Contribute to a safe, inclusive environment where differences are respected. 

• Educate themselves about unconscious bias. 

• Solicit diverse ideas that challenge thinking. 

> 5 of 19 Code of",1,True,1,0.8487000465393066
